iter,case,idx,relation_events_at_idx,new_relations_at_idx,reused_relations_at_idx,new_relation_names,cumulative_relations
iter0,case1_name_only,0,1,1,0,location,1
iter0,case1_name_only,1,6,6,0,isPartOf; populationDensity; population; utcOffset; governmentType; leaderTitle,7
iter0,case1_name_only,2,2,2,0,powerType; length,9
iter0,case1_name_only,3,5,4,1,architect; address; currentTenants; country,13
iter0,case1_name_only,4,3,3,0,bornIn; diedIn; ethnicGroup,16
iter0,case1_name_only,5,3,2,1,manager; numberOfMembers,18
iter0,case1_name_only,6,3,3,0,firstAired; creator; broadcastedBy,21
iter0,case1_name_only,7,8,5,3,builtIn; municipality; county; type; relateto,26
iter0,case1_name_only,8,1,0,1,,26
iter0,case1_name_only,9,4,1,3,owns,27
iter0,case1_name_only,10,2,2,0,operatedBy; runwayLength,29
iter0,case1_name_only,11,5,3,2,nationality; selectedBy; selectionYear,32
iter0,case1_name_only,12,1,0,1,,32
iter0,case1_name_only,13,4,3,1,birthPlace; birthDate; occupation,35
iter0,case1_name_only,14,2,1,1,icaoLocationIdentifier,36
iter0,case1_name_only,15,4,1,3,altitudeAboveSeaLevel,37
iter0,case1_name_only,16,7,3,4,ground; league; champions,40
iter0,case1_name_only,17,3,1,2,affiliation,41
iter0,case1_name_only,18,0,0,0,,41
iter0,case1_name_only,19,3,3,0,isA; foundIn; servedAs,44
iter0,case1_name_only,20,3,2,1,startedPerforming; playedWith,46
iter0,case1_name_only,21,2,1,1,firstAiredOn,47
iter0,case1_name_only,22,4,3,1,foundingDate; makes; sells,50
iter0,case1_name_only,23,4,0,4,,50
iter0,case1_name_only,24,4,3,1,ingredients; inhabitant; currency,53
iter0,case1_name_only,25,5,2,3,dateOfBirth; mission,55
iter0,case1_name_only,26,3,1,2,region,56
iter0,case1_name_only,27,3,2,1,mainProduct; produces,58
iter0,case1_name_only,28,5,3,2,spouse; officeHolder; deathPlace,61
iter0,case1_name_only,29,4,2,2,corporateForm; managerTitle,63
iter0,case1_name_only,30,3,2,1,bornOn; memberOf,65
iter0,case1_name_only,31,5,1,4,populationMetro,66
iter0,case1_name_only,32,2,0,2,,66
iter0,case1_name_only,33,6,6,0,discoveredBy; discoveryDate; rotationPeriod; orbitalPeriod; apoapsis; absoluteMagnitude,72
iter0,case1_name_only,34,3,1,2,birthYear,73
iter0,case1_name_only,35,2,0,2,,73
iter0,case1_name_only,36,1,1,0,studiesAt,74
iter0,case1_name_only,37,4,0,4,,74
iter0,case1_name_only,38,4,1,3,owner,75
iter0,case1_name_only,39,4,3,1,firstProducedOn; lastProducedOn; assemblyLineLocation,78
iter0,case1_name_only,40,5,2,3,operator; runwayName,80
iter0,case1_name_only,41,4,0,4,,80
iter0,case1_name_only,42,2,2,0,team; currentTeam,82
iter0,case1_name_only,43,1,0,1,,82
iter0,case1_name_only,44,2,0,2,,82
iter0,case1_name_only,45,7,0,7,,82
iter0,case1_name_only,46,2,1,1,weight,83
iter0,case1_name_only,47,6,2,4,constructedBy; constructionPeriod,85
iter0,case1_name_only,48,6,4,2,established; has; isLocatedIn; isCategorizedAs,89
iter0,case1_name_only,49,5,1,4,periapsis,90
iter0,case1_name_only,50,3,2,1,playsInstrument; isMemberOf,92
iter0,case1_name_only,51,4,2,2,operates; isBasedIn,94
iter0,case1_name_only,52,2,1,1,placeOfOrigin,95
iter0,case1_name_only,53,4,2,2,education; receivedAward,97
iter0,case1_name_only,54,3,0,3,,97
iter0,case1_name_only,55,2,0,2,,97
iter0,case1_name_only,56,4,1,3,locationElevation,98
iter0,case1_name_only,57,2,0,2,,98
iter0,case1_name_only,58,5,0,5,,98
iter0,case1_name_only,59,2,0,2,,98
iter0,case1_name_only,60,4,2,2,productionStartYear; productionEndYear,100
iter0,case1_name_only,61,2,1,1,timezone,101
iter0,case1_name_only,62,2,1,1,founder,102
iter0,case1_name_only,63,1,0,1,,102
iter0,case1_name_only,64,3,1,2,epoch,103
iter0,case1_name_only,65,3,1,2,engineType,104
iter0,case1_name_only,66,6,3,3,numberOfStudents; postgraduateStudents; staffMembers,107
iter0,case1_name_only,67,5,2,3,canBeVaryWith; inhabitants,109
iter0,case1_name_only,68,2,0,2,,109
iter0,case1_name_only,69,6,2,4,wasMemberOf; retiredOn,111
iter0,case1_name_only,70,2,1,1,enrollment,112
iter0,case1_name_only,71,3,0,3,,112
iter0,case1_name_only,72,2,2,0,author; numberOfPages,114
iter0,case1_name_only,73,6,2,4,elevationAboveSeaLevel; timeZone,116
iter0,case1_name_only,74,1,1,0,areaCode,117
iter0,case1_name_only,75,6,0,6,,117
iter0,case1_name_only,76,4,1,3,wonLeague,118
iter0,case1_name_only,77,2,0,2,,118
iter0,case1_name_only,78,3,1,2,locationRelation,119
iter0,case1_name_only,79,2,0,2,,119
iter0,case1_name_only,80,5,0,5,,119
iter0,case1_name_only,81,1,0,1,,119
iter0,case1_name_only,82,6,2,4,year; isChampion,121
iter0,case1_name_only,83,5,1,4,locatedAboveSeaLevel,122
iter0,case1_name_only,84,4,0,4,,122
iter0,case1_name_only,85,4,2,2,earnings; hasSubsidiary,124
iter0,case1_name_only,86,1,0,1,,124
iter0,case1_name_only,87,3,0,3,,124
iter0,case1_name_only,88,6,3,3,homeGround; nickname; previousChampion,127
iter0,case1_name_only,89,2,0,2,,127
iter0,case1_name_only,90,4,3,1,height; previousTeam; previousRole,130
iter0,case1_name_only,91,4,3,1,starring; network; genre,133
iter0,case1_name_only,92,3,1,2,serves,134
iter0,case1_name_only,93,6,2,4,attendedSchool; deathDate,136
iter0,case1_name_only,94,1,0,1,,136
iter0,case1_name_only,95,3,2,1,playedFor; currentlyPlaysFor,138
iter0,case1_name_only,96,2,0,2,,138
iter0,case1_name_only,97,2,0,2,,138
iter0,case1_name_only,98,2,0,2,,138
iter0,case1_name_only,99,4,1,3,headquartersLocation,139
iter0,case1_name_only,100,5,2,3,publisher; precedes,141
iter0,case1_name_only,101,2,1,1,youthClub,142
iter0,case1_name_only,102,2,0,2,,142
iter0,case1_name_only,103,3,1,2,rotation_period,143
iter0,case1_name_only,104,4,3,1,containsSettlement; category; southeast_of,146
iter0,case1_name_only,105,1,1,0,builder,147
iter0,case1_name_only,106,4,0,4,,147
iter0,case1_name_only,107,6,1,5,toTheSouthEastOf,148
iter0,case1_name_only,108,4,1,3,associatedBand,149
iter0,case1_name_only,109,6,1,5,rotationalPeriod,150
iter0,case1_name_only,110,3,0,3,,150
iter0,case1_name_only,111,5,3,2,parent; actedIn; headquarters,153
iter0,case1_name_only,112,6,2,4,completionDate; startDateConstruction,155
iter0,case1_name_only,113,2,0,2,,155
