iter,case,idx,triplet_idx,raw_relation,is_new_relation,relation_status,cumulative_relations_after_event
iter0,case1_name_only,0,0,location,True,new,1
iter0,case1_name_only,1,0,isPartOf,True,new,2
iter0,case1_name_only,1,1,populationDensity,True,new,3
iter0,case1_name_only,1,2,population,True,new,4
iter0,case1_name_only,1,3,utcOffset,True,new,5
iter0,case1_name_only,1,4,governmentType,True,new,6
iter0,case1_name_only,1,5,leaderTitle,True,new,7
iter0,case1_name_only,2,0,powerType,True,new,8
iter0,case1_name_only,2,1,length,True,new,9
iter0,case1_name_only,3,0,architect,True,new,10
iter0,case1_name_only,3,1,address,True,new,11
iter0,case1_name_only,3,2,currentTenants,True,new,12
iter0,case1_name_only,3,3,location,False,reused,12
iter0,case1_name_only,3,4,country,True,new,13
iter0,case1_name_only,4,0,bornIn,True,new,14
iter0,case1_name_only,4,1,diedIn,True,new,15
iter0,case1_name_only,4,2,ethnicGroup,True,new,16
iter0,case1_name_only,5,0,manager,True,new,17
iter0,case1_name_only,5,1,numberOfMembers,True,new,18
iter0,case1_name_only,5,2,country,False,reused,18
iter0,case1_name_only,6,0,firstAired,True,new,19
iter0,case1_name_only,6,1,creator,True,new,20
iter0,case1_name_only,6,2,broadcastedBy,True,new,21
iter0,case1_name_only,7,0,builtIn,True,new,22
iter0,case1_name_only,7,1,location,False,reused,22
iter0,case1_name_only,7,2,municipality,True,new,23
iter0,case1_name_only,7,3,county,True,new,24
iter0,case1_name_only,7,4,type,True,new,25
iter0,case1_name_only,7,5,isPartOf,False,reused,25
iter0,case1_name_only,7,6,isPartOf,False,reused,25
iter0,case1_name_only,7,7,relateto,True,new,26
iter0,case1_name_only,8,0,type,False,reused,26
iter0,case1_name_only,9,0,owns,True,new,27
iter0,case1_name_only,9,1,country,False,reused,27
iter0,case1_name_only,9,2,currentTenants,False,reused,27
iter0,case1_name_only,9,3,owns,False,reused,27
iter0,case1_name_only,10,0,operatedBy,True,new,28
iter0,case1_name_only,10,1,runwayLength,True,new,29
iter0,case1_name_only,11,0,bornIn,False,reused,29
iter0,case1_name_only,11,1,diedIn,False,reused,29
iter0,case1_name_only,11,2,nationality,True,new,30
iter0,case1_name_only,11,3,selectedBy,True,new,31
iter0,case1_name_only,11,4,selectionYear,True,new,32
iter0,case1_name_only,12,0,isPartOf,False,reused,32
iter0,case1_name_only,13,0,birthPlace,True,new,33
iter0,case1_name_only,13,1,birthDate,True,new,34
iter0,case1_name_only,13,2,nationality,False,reused,34
iter0,case1_name_only,13,3,occupation,True,new,35
iter0,case1_name_only,14,0,operatedBy,False,reused,35
iter0,case1_name_only,14,1,icaoLocationIdentifier,True,new,36
iter0,case1_name_only,15,0,location,False,reused,36
iter0,case1_name_only,15,1,operatedBy,False,reused,36
iter0,case1_name_only,15,2,altitudeAboveSeaLevel,True,new,37
iter0,case1_name_only,15,3,runwayLength,False,reused,37
iter0,case1_name_only,16,0,ground,True,new,38
iter0,case1_name_only,16,1,numberOfMembers,False,reused,38
iter0,case1_name_only,16,2,league,True,new,39
iter0,case1_name_only,16,3,country,False,reused,39
iter0,case1_name_only,16,4,league,False,reused,39
iter0,case1_name_only,16,5,country,False,reused,39
iter0,case1_name_only,16,6,champions,True,new,40
iter0,case1_name_only,17,0,affiliation,True,new,41
iter0,case1_name_only,17,1,country,False,reused,41
iter0,case1_name_only,17,2,country,False,reused,41
iter0,case1_name_only,19,0,isA,True,new,42
iter0,case1_name_only,19,1,foundIn,True,new,43
iter0,case1_name_only,19,2,servedAs,True,new,44
iter0,case1_name_only,20,0,isA,False,reused,44
iter0,case1_name_only,20,1,startedPerforming,True,new,45
iter0,case1_name_only,20,2,playedWith,True,new,46
iter0,case1_name_only,21,0,broadcastedBy,False,reused,46
iter0,case1_name_only,21,1,firstAiredOn,True,new,47
